Recording timestamp	Eye movement type index	Gaze event duration	Fixation point X	Fixation point Y	target	phone_x	phone_y	best_match	screentime
119832.0	105	620.0	1007.0	509.0	surroundings				0
120222.0	106	400.0	857.0	356.0	cell phone	0.974220009342842	0.21027674346517908	map_ar_2.jpg	88
120842.0	107	80.0	1678.0	11.0	surroundings				0
121262.0	108	440.0	811.0	514.0	cell phone	0.5730071502536358	0.16108888051996584	map_ar_2.jpg	1128
123471.0	109	3799.0	919.0	312.0	cell phone	0.8880172560057791	0.12989019640944974	map_ar_2.jpg	3337
126541.0	110	2280.0	920.0	395.0	cell phone	0.6706999627081883	0.6287369360479012	map_ar_2.jpg	6407
128140.0	111	880.0	930.0	259.0	cell phone	0.769060422970376	0.16403669658159273	map_ar_2.jpg	8006
129480.0	112	1760.0	980.0	352.0	cell phone	0.7752740557791518	0.043050531612662736	map_ar_2.jpg	9346
130910.0	113	880.0	1070.0	271.0	cell phone	0.7785319783996459	0.05470699454858191	map_ar_2.jpg	10776
131620.0	114	520.0	989.0	269.0	cell phone	0.4896551724137931	0.06923076923076922	map_ar_2.jpg	11486
133599.0	115	400.0	942.0	426.0	cell phone	0.2032670706569652	0.19245918600282072	map_ar_2.jpg	13465
134359.0	116	1080.0	958.0	245.0	building				0
135079.0	117	320.0	988.0	203.0	cell phone	0.8105524883168236	0.0736460061561993	map_ar_2.jpg	14945
135569.0	118	100.0	920.0	222.0	cell phone	0.4034796759389985	0.07255578389305055	map_ar_2.jpg	15435
135938.0	119	600.0	996.0	238.0	cell phone	0.4381270903010033	0.11708253358925146	map_ar_2.jpg	15804
137378.0	120	160.0	1188.0	403.0	cell phone	0.5671587023735541	0.3792659163410897	map_ar_2.jpg	17244
137798.0	121	640.0	992.0	412.0	cell phone	0.7062402300371129	0.5667766472190329	map_ar_2.jpg	17664
138218.0	122	160.0	1067.0	304.0	cell phone	0.8638494760526538	0.18879173029466845	map_ar_2.jpg	18084
138528.0	123	420.0	993.0	295.0	cell phone	0.5335689045936396	0.06395348837209303	map_ar_2.jpg	18394
139398.0	124	280.0	1045.0	319.0	cell phone	0.7721518987341772	0.16306483300589392	map_ar_2.jpg	19264
140848.0	125	220.0	1017.0	198.0	cell phone	0.8784549384654512	0.13256722375404087	map_ar_2.jpg	20714
141018.0	126	80.0	1079.0	356.0	cell phone	0.9190709973346144	0.4016516951333146	map_ar_2.jpg	20884
141177.0	127	200.0	983.0	368.0	cell phone	0.4985456815816266	0.4796609569438866	map_ar_2.jpg	21043
141407.0	128	180.0	1164.0	344.0	surroundings				0
141737.0	129	160.0	1094.0	253.0	cell phone	0.951543870555499	0.1351384480832166	map_ar_2.jpg	21603
142117.0	130	80.0	868.0	481.0	surroundings				0
144157.0	131	360.0	1018.0	395.0	cell phone	0.9408450704225352	0.5475352112676056	map_ar_2.jpg	24023
146626.0	132	220.0	1002.0	273.0	cell phone	0.5829495604459289	0.15185095974612225	map_ar_2.jpg	26492
147196.0	133	80.0	793.0	219.0	surroundings				0
148636.0	134	1280.0	924.0	326.0	cell phone	0.5971428571428572	0.3057090239410681	map_ar_2.jpg	28502
149945.0	135	1140.0	993.0	250.0	cell phone	0.7044503867463392	0.09937355188672667	map_ar_2.jpg	29811
150755.0	136	440.0	1125.0	238.0	cell phone	0.9317532719280712	0.18500297854788653	map_ar_2.jpg	30621
151555.0	137	1120.0	1034.0	285.0	cell phone	0.7654452393401687	0.09486492392339127	map_ar_2.jpg	31421
152715.0	138	160.0	1015.0	15.0	building				0
153334.0	139	360.0	959.0	452.0	cell phone	0.6736310636599148	0.2239918021408165	map_ar_2.jpg	33200
153924.0	140	780.0	907.0	219.0	cell phone	0.8009890627776498	0.09915124961897716	map_ar_2.jpg	33790
